window_length,hop_fraction,PercSS
0.25,1.0,2.109119
0.25,0.50,2.086440
0.25,0.25,2.096385
0.25,0.20,2.090013
0.50,1.0,1.947921
0.50,0.50,1.949417
0.50,0.25,1.977018
0.50,0.20,1.974492
1.0,1.0,1.939784
1.0,0.50,1.916955
1.0,0.25,1.916711
1.0,0.20,1.919837
5.0,1.0,2.026107
5.0,0.50,2.118495
5.0,0.25,2.110251
5.0,0.20,2.112391
10.0,1.0,2.117248
10.0,0.50,2.094775
10.0,0.25,2.148516
10.0,0.20,2.139811
20.0,1.0,2.340867
20.0,0.50,2.189184
20.0,0.25,2.178639
20.0,0.20,2.178438
60.0,1.0,2.163973
60.0,0.50,2.207860
60.0,0.25,2.190166
60.0,0.20,2.189033
